,Posted,Job Title,Company,LINK,Location
0,2022-12-13,Frontend - React.JS Developer,Ezugi,https://ro.linkedin.com/jobs/view/frontend-react-js-developer-at-ezugi-3398339554?refId=J1RCqB%2BN4lBvrL53zoY1xg%3D%3D&trackingId=2IaAcGHym%2FeqRfv2hBfBTw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Voluntari, Ilfov, Romania"
1,2022-11-21,Junior Full Stack Developer,Greppy Systems,https://ro.linkedin.com/jobs/view/junior-full-stack-developer-at-greppy-systems-3389556340?refId=J1RCqB%2BN4lBvrL53zoY1xg%3D%3D&trackingId=ThvBkJ7ax3Nv7GwIzDuNLw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
2,2022-12-07,#7806 - Junior Frontend Developer,Qualitest,https://ro.linkedin.com/jobs/view/%237806-junior-frontend-developer-at-qualitest-3389795811?refId=J1RCqB%2BN4lBvrL53zoY1xg%3D%3D&trackingId=SbcoHwF5QLxnwBlFbHvVfg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
3,2022-12-08,Frontend Developer,Infosys,https://ro.linkedin.com/jobs/view/frontend-developer-at-infosys-3389521258?refId=J1RCqB%2BN4lBvrL53zoY1xg%3D%3D&trackingId=Ue9fkeMC8hMAeycyenRMXg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
4,2022-12-13,Frontend Developer,STOICA.CO,https://ro.linkedin.com/jobs/view/frontend-developer-at-stoica-co-3394120937?refId=J1RCqB%2BN4lBvrL53zoY1xg%3D%3D&trackingId=Cf2gGG3SXt1yAdQJV5SK7g%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,Romania
5,2022-11-15,Junior Web Developer (m/f/d),Mitsui Chemicals Group,https://ro.linkedin.com/jobs/view/junior-web-developer-m-f-d-at-mitsui-chemicals-group-3385146569?refId=J1RCqB%2BN4lBvrL53zoY1xg%3D%3D&trackingId=szb1p5pfXYJ9tJq%2BlFXcRQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
6,2022-12-05,FrontEnd Developer (remote or hybrid),AdsWizz,https://ro.linkedin.com/jobs/view/frontend-developer-remote-or-hybrid-at-adswizz-3133082163?refId=J1RCqB%2BN4lBvrL53zoY1xg%3D%3D&trackingId=zdlZ76auE3CEJZ%2BzMM84Hg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
7,2022-12-01,Javascript / ReactJS Developer (Mid),Fabric,https://ro.linkedin.com/jobs/view/javascript-reactjs-developer-mid-at-fabric-3382755386?refId=J1RCqB%2BN4lBvrL53zoY1xg%3D%3D&trackingId=T6zqzLMnSrOls7vxcZfgiw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
8,2022-11-14,#6756 - Frontend Developer,Qualitest,https://ro.linkedin.com/jobs/view/%236756-frontend-developer-at-qualitest-3389797557?refId=J1RCqB%2BN4lBvrL53zoY1xg%3D%3D&trackingId=oidtnvYdwLjg9CO8MX9Rug%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
9,2022-11-14,React Developer (Remote),Luxoft,https://ro.linkedin.com/jobs/view/react-developer-remote-at-luxoft-3211293169?refId=J1RCqB%2BN4lBvrL53zoY1xg%3D%3D&trackingId=c9YkPhKNY3ebYzussizvgQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"Timişoara, Timiş, Romania"
